SampleID,Species,Myco,Phylo,Leaf,Exudation_rate,N_uptake,Diam, SRL , SRA ,  RTD  ,Mass,Length,Surf_area,Root_vol,SA_of_tips,Tip_Mass
sycamore-4-6/2/22,Sycamore,AM,Angio,dec,1474.541,760.569,0.4163,15.48,202.39,0.47,0.1138,176.12,23.0318,0.24,21.0812,0.032
sycamore-tree811-6/2/22,Sycamore,AM,Angio,dec,1096.971,77.225,0.5706,6.75,121.04,0.58,0.16,108.034,19.3671,0.276,18.4093,0.017
sycamore-tree804-6/2/22,Sycamore,AM,Angio,dec,248.48,544.688,0.6479,5.06,103.09,0.6,0.2093,106.0024,21.5771,0.35,19.6571,0.0363
Hemlock-tree4-06/02/22,Hemlock,EM,Gymno,ev,929.842,1531.946,0.6092,10.6,202.94,0.32,0.093,98.6169,18.8735,0.287,16.0269,0.0407
Hemlock-tree3-06/02/22,Hemlock,EM,Gymno,ev,410.943,185.946,0.6432,3.52,71.16,0.87,0.2891,101.8069,20.5733,0.331,17.2833,0.0474
Hemlock-tree1-06/02/22,Hemlock,EM,Gymno,ev,1836.244,453.401,0.5287,8.5,141.2,0.54,0.3509,298.3167,49.5485,0.655,44.0178,0.1746
Hemlock-tree2-06/02/22,Hemlock,EM,Gymno,ev,526.345,189.019,0.6875,3.91,84.53,0.69,0.2501,97.8729,21.1405,0.363,19.4046,0.0379
SM-1-06/07/22,Maple,AM,Angio,dec,80.973,420.491,0.3315,12.21,127.16,0.95,0.1114,136.0175,14.1659,0.117,12.7548,0.0232
SM-2-06/07/22,Maple,AM,Angio,dec,384.371,290.62,0.3451,12.87,139.52,0.83,0.2421,311.5677,33.7782,0.291,30.4837,0.0555
SM-4-06/07/22,Maple,AM,Angio,dec,465.013,670.648,0.3199,19.32,194.16,0.64,0.1454,280.9194,28.2306,0.226,25.3957,0.0549
Hickory-1-1538-6/7/22,Hickory,EM,Angio,dec,1789.838,199.279,0.334,12.22,128.25,0.93,0.2543,310.8198,32.6134,0.272,28.5983,0.0498
Hickory-3-1529-6/7/22,Hickory,EM,Angio,dec,343.672,785.608,0.4218,13.22,175.25,0.54,0.144,190.4373,25.2363,0.266,21.2914,0.0887
Hickory-4-SAPS-6/7/22,Hickory,EM,Angio,dec,170.812,864.298,0.336,11.04,116.54,1.02,0.1144,126.3244,13.3327,0.112,11.9697,0.0302
SWO-1-Tree5-6/8/22,SWO,EM,Angio,dec,1340.084,-5.147,0.3332,13.77,144.18,0.83,0.3381,465.723,48.7464,0.406,42.6829,0.1145
SWO-2-Tree2-6/8/22,SWO,EM,Angio,dec,138.851,201.968,0.3682,8.92,103.22,1.05,0.1804,160.9741,18.6215,0.171,16.8054,0.0318
Pawpaw-2-6/8/22,PawPaw,AM,Angio,dec,13410.275,4039.796,0.6445,12.59,254.86,0.24,0.0133,16.7415,3.3896,0.055,3.3492,
Pawpaw-4-6/8/22,PawPaw,AM,Angio,dec,11476.1,1910.8,0.934,9.55,280.11,0.15,0.0223,21.2888,6.2465,0.146,6.1471,
Pawpaw-1-6/8/22,PawPaw,AM,Angio,dec,227.537,443.505,0.6547,10.92,224.64,0.27,0.2531,276.4108,56.8557,0.931,55.1436,0.0922
Pawpaw-3-6/8/22,PawPaw,AM,Angio,dec,142.202,1340.733,0.652,11.21,229.54,0.27,0.059,66.1219,13.5431,0.221,13.2635,0.01
Spruce-2-7/14/22,Spruce,EM,Gymno,ev,2248.8,257.414,0.4171,16.85,220.81,0.43,0.0654,110.194,14.4409,0.151,12.7306,0.0419
Spruce-1-7/14/22,Spruce,EM,Gymno,ev,1835.972,658.47,0.4316,16.43,222.74,0.42,0.1458,239.5002,32.4759,0.35,27.1054,0.098
Spruce-3-7/14/22,Spruce,EM,Gymno,ev,1567.134,171.415,0.4011,15.52,195.59,0.51,0.1181,183.3045,23.0986,0.232,21.1852,0.0487
Spruce-4-7/14/22,Spruce,EM,Gymno,ev,674.421,-856.683,0.3611,17.9,203,0.54,0.1024,183.2458,20.7875,0.188,18.7596,0.0473
